"Withdrawal Settings","Atsisakymo nustatymai"
"General Settings","Bendrieji nustatymai"
"Enable Module","Įjungti modulį"
"Notification Email","Pranešimo el. paštas"
"Withdrawal Period (Days)","Atsisakymo terminas (dienos)"
"Email Settings","El. pašto nustatymai"
"Email Sender","El. pašto siuntėjas"
"Customer Confirmation Email Template","Kliento patvirtinimo el. pašto šablonas"
"Admin Notification Email Template","Administratoriaus pranešimo el. pašto šablonas"
"Withdrawal Requests","Atsisakymo prašymai"
"Withdrawals","Atsisakymai"
"Withdrawal","Atsisakymas"
"Withdraw","Atsisakyti"
"Withdraw Order","Atsisakyti užsakymo"
"Submit Withdrawal","Pateikti atsisakymą"
"Withdrawal submitted","Atsisakymas pateiktas"
"Withdrawal period expired","Atsisakymo terminas pasibaigė"
"Withdrawal for Order #%1","Atsisakymas nuo užsakymo #%1"
"Withdrawal Successfully Submitted","Atsisakymas sėkmingai pateiktas"
"Your withdrawal request for order #%1 has been received.","Jūsų atsisakymo prašymas dėl užsakymo #%1 gautas."
"You will receive a confirmation email shortly.","Netrukus gausite patvirtinimo el. laišką."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Parduotuvė susisieks su jumis dėl tolesnių žingsnių (pvz., prekių grąžinimas, pinigų grąžinimas)."
"Back to My Orders","Grįžti į mano užsakymus"
"Continue Shopping","Tęsti apsipirkimą"
"Search Order for Withdrawal","Ieškoti užsakymo atsisakymui"
"Please enter your order number and the email address used for the order to find your order.","Įveskite užsakymo numerį ir el. pašto adresą, naudotą užsakymui."
"Order Number","Užsakymo numeris"
"Email Address","El. pašto adresas"
"Search Order","Ieškoti užsakymo"
"Order Date","Užsakymo data"
"Order Status","Užsakymo būsena"
"Order Total","Užsakymo suma"
"Items Ordered","Užsakytos prekės"
"Product Name","Produkto pavadinimas"
"SKU","SKU"
"Qty","Kiekis"
"Price","Kaina"
"Subtotal","Tarpinė suma"
"Withdrawal deadline:","Atsisakymo terminas:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Pateikdami atsisakymą pareiškiate, kad norite atšaukti šio užsakymo pirkimo sutartį."
"A withdrawal request has already been submitted for this order.","Šiam užsakymui jau pateiktas atsisakymo prašymas."
"The withdrawal period for this order has expired. The deadline was: %1","Šio užsakymo atsisakymo terminas pasibaigė. Terminas buvo: %1"
"Back","Atgal"
"Confirm Withdrawal","Patvirtinti atsisakymą"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Ar tikrai norite pateikti atsisakymą šiam užsakymui? Šio veiksmo negalima atšaukti."
"Cancel","Atšaukti"
"Yes, Submit Withdrawal","Taip, pateikti atsisakymą"
"The order could not be found.","Užsakymo nerasta."
"Invalid form key. Please try again.","Netinkamas formos raktas. Bandykite dar kartą."
"The withdrawal function is currently not available.","Atsisakymo funkcija šiuo metu nepasiekiama."
"No order specified.","Nenurodytas užsakymas."
"Please log in to submit a withdrawal.","Prisijunkite, kad pateiktumėte atsisakymą."
"You are not authorized to withdraw this order.","Jūs neturite leidimo atsisakyti šio užsakymo."
"You are not authorized to view this order.","Jūs neturite leidimo peržiūrėti šio užsakymo."
"The provided email does not match the order.","Nurodytas el. paštas neatitinka užsakymo."
"A withdrawal request already exists for this order.","Šiam užsakymui jau egzistuoja atsisakymo prašymas."
"The withdrawal period for this order has expired.","Šio užsakymo atsisakymo terminas pasibaigė."
"Your withdrawal request was submitted.","Jūsų atsisakymo prašymas pateiktas."
"Unable to submit withdrawal request. Please try again.","Nepavyko pateikti atsisakymo prašymo. Bandykite dar kartą."
"Withdrawal requested by customer on %1.","Atsisakymą paprašė klientas %1."
"Please enter both order number and email address.","Įveskite ir užsakymo numerį, ir el. pašto adresą."
"No order found with the given order number and email address.","Nerasta užsakymų nurodytu numeriu ir el. paštu."
"Invalid request.","Netinkamas prašymas."
"Order #","Užsakymas #"
"Customer Name","Kliento vardas"
"Customer Email","Kliento el. paštas"
"Status","Būsena"
"Pending","Laukiama"
"Confirmed","Patvirtinta"
"Rejected","Atmesta"
"Order Placed At","Užsakymas pateiktas"
"Withdrawal Requested At","Atsisakymas paprašytas"
"Comment","Komentaras"
"View Order","Peržiūrėti užsakymą"
"ID","ID"
"e.g. 000000001","pvz. 000000001"
"your@email.com","jusu@email.lt"
"Enable or disable the withdrawal button functionality.","Įjungti arba išjungti atsisakymo mygtuko funkciją."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","El. pašto adresas atsisakymo pranešimams gauti. Jei tuščias, bus naudojamas bendras parduotuvės el. paštas."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Dienų skaičius po paskutinio dalinio siuntos išsiuntimo, per kurias leidžiama atsisakyti. Numatytasis: 14 dienų."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Šis užsakymas dar neišsiųstas. Galite atsisakyti bet kada, kol negausite prekių."
"Email template sent to the customer after withdrawal request.","El. pašto šablonas, siunčiamas klientui po atsisakymo prašymo."
"Email template sent to the shop owner after withdrawal request.","El. pašto šablonas, siunčiamas parduotuvės savininkui po atsisakymo prašymo."
"Withdrawal Confirmation for Order #%order_increment_id","Atsisakymo patvirtinimas užsakymui #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Naujas atsisakymo prašymas užsakymui #%order_increment_id"
"Dear %customer_name,","Gerbiamas/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Gavome jūsų atsisakymo prašymą dėl užsakymo #%order_increment_id."
"Your withdrawal request has been registered successfully.","Jūsų atsisakymo prašymas sėkmingai užregistruotas."
"Order Number:","Užsakymo numeris:"
"Order Date:","Užsakymo data:"
"Withdrawal Requested:","Atsisakymas paprašytas:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Parduotuvė apdoros jūsų atsisakymo prašymą ir susisieks su jumis dėl tolesnių žingsnių (pvz., grąžinimas, pinigų grąžinimas)."
"If you have any questions, please contact us.","Jei turite klausimų, susisiekite su mumis."
"A new withdrawal request has been submitted.","Pateiktas naujas atsisakymo prašymas."
"Customer Name:","Kliento vardas:"
"Customer Email:","Kliento el. paštas:"
"Please review this withdrawal request and take the necessary steps.","Peržiūrėkite šį atsisakymo prašymą ir imkitės reikiamų veiksmų."
"Allowed Order Statuses","Leidžiamos užsakymo būsenos"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Atsisakymas galimas tik užsakymams su viena iš šių būsenų. Numatytasis: laukiama, apdorojama, baigta."
"Withdrawal is only possible for orders with one of these statuses.","Atsisakymas galimas tik užsakymams su viena iš šių būsenų."
"All items of this order have already been withdrawn.","Visi šio užsakymo produktai jau buvo atšaukti."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Kai kurie šio užsakymo produktai jau buvo atšaukti. Žemiau pažymėti produktai nebėra prieinami atšaukimui."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Pasirinkite produktus, kuriuos norite atšaukti. Galite atšaukti atskirus produktus (dalinis atšaukimas) arba visus produktus iš karto."
"Select Items to Withdraw","Pasirinkite produktus atšaukimui"
"Select All","Pasirinkti visus"
"Qty Ordered","Užsakytas kiekis"
"Qty to Withdraw","Atšaukiamas kiekis"
"Withdrawn","Atšaukta"
"Please select at least one item to withdraw.","Pasirinkite bent vieną produktą atšaukimui."
"Invalid item selection.","Neteisėtas produkto pasirinkimas."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Vienas ar daugiau pasirinktų produktų jau buvo atšaukti ir negali būti atšaukti dar kartą."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Dalinis atšaukimas nėra įjungtas. Atšaukite visą užsakymą."
"Partial withdrawal requested by customer on %1. Items: %2","Dalinis atšaukimas, kurį paprašė klientas %1. Produktai: %2"
"partial withdrawal","dalinis atšaukimas"
"Allow Partial Withdrawal","Leisti dalinį atšaukimą"
"Allow customers to withdraw individual items instead of the entire order.","Leidžia klientams atšaukti atskirus produktus vietoj viso užsakymo."
"Default: No.","Numatytasis: Ne."
"Type","Tipas"
"Full","Pilnas"
"Partial","Dalinis"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Gavome jūsų %withdrawal_type_label užsakymui #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Pateiktas naujas %withdrawal_type_label."
"Withdrawn Items:","Atšaukti produktai:"
"View Details","Peržiūrėti išsamią informaciją"
"Back to Withdrawal Requests","Grįžti į atšaukimo prašymus"
"Withdrawal Request #%1","Atšaukimo prašymas Nr. %1"
"Withdrawn Items (Partial Withdrawal)","Atšaukti produktai (dalinis atšaukimas)"
"Withdrawn Items (Full Withdrawal)","Atšaukti produktai (pilnas atšaukimas)"
"No item details recorded for this withdrawal request.","Šiam atšaukimo prašymui neįrašyta produktų detalių."
"Qty Withdrawn","Atšauktas kiekis"
"Confirm this withdrawal request?","Patvirtinti šį atšaukimo prašymą?"
"Reject this withdrawal request?","Atmesti šį atšaukimo prašymą?"
"Withdrawal Submitted Successfully","Atsisakymas sėkmingai pateiktas"
"withdrawal","atšaukimas"
"Withdrawal request confirmed by the shop on %1.","Parduotuvė patvirtino atsisakymo prašymą %1."
"Withdrawal request rejected by the shop on %1.","Parduotuvė atmetė atsisakymo prašymą %1."
"View Shipment #%1","Peržiūrėti siuntą #%1"
"Print Packing Slip #%1","Spausdinti važtaraštį #%1"
