"Withdrawal Settings","Nastavitve odstopa"
"General Settings","Splošne nastavitve"
"Enable Module","Aktiviraj modul"
"Notification Email","E-pošta za obvestila"
"Withdrawal Period (Days)","Rok za odstop (dni)"
"Email Settings","Nastavitve e-pošte"
"Email Sender","Pošiljatelj e-pošte"
"Customer Confirmation Email Template","Predloga potrditvenega e-poštnega sporočila kupca"
"Admin Notification Email Template","Predloga obvestilnega e-poštnega sporočila administratorja"
"Withdrawal Requests","Zahteve za odstop"
"Withdrawals","Odstopi"
"Withdrawal","Odstop"
"Withdraw","Odstopi"
"Withdraw Order","Odstopi od naročila"
"Submit Withdrawal","Pošlji odstop"
"Withdrawal submitted","Odstop poslan"
"Withdrawal period expired","Rok za odstop je potekel"
"Withdrawal for Order #%1","Odstop od naročila #%1"
"Withdrawal Successfully Submitted","Odstop uspešno poslan"
"Your withdrawal request for order #%1 has been received.","Vaša zahteva za odstop od naročila #%1 je bila prejeta."
"You will receive a confirmation email shortly.","Kmalu boste prejeli potrditveno e-poštno sporočilo."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Trgovina vas bo kontaktirala glede naslednjih korakov (npr. vračilo blaga, povračilo)."
"Back to My Orders","Nazaj na moja naročila"
"Continue Shopping","Nadaljuj z nakupovanjem"
"Search Order for Withdrawal","Poišči naročilo za odstop"
"Please enter your order number and the email address used for the order to find your order.","Vnesite številko naročila in e-poštni naslov, ki ste ga uporabili pri naročilu."
"Order Number","Številka naročila"
"Email Address","E-poštni naslov"
"Search Order","Poišči naročilo"
"Order Date","Datum naročila"
"Order Status","Status naročila"
"Order Total","Skupaj naročilo"
"Items Ordered","Naročeni artikli"
"Product Name","Ime izdelka"
"SKU","SKU"
"Qty","Kol."
"Price","Cena"
"Subtotal","Vmesna vsota"
"Withdrawal deadline:","Rok za odstop:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Z oddajo odstopa izjavljate, da želite razveljaviti kupoprodajno pogodbo za to naročilo."
"A withdrawal request has already been submitted for this order.","Za to naročilo je bila zahteva za odstop že oddana."
"The withdrawal period for this order has expired. The deadline was: %1","Rok za odstop od tega naročila je potekel. Rok je bil: %1"
"Back","Nazaj"
"Confirm Withdrawal","Potrdi odstop"
