"Withdrawal Settings","Postavke odustanka"
"General Settings","Opće postavke"
"Enable Module","Aktiviraj modul"
"Notification Email","E-pošta obavijesti"
"Withdrawal Period (Days)","Rok za odustanak (dani)"
"Email Settings","Postavke e-pošte"
"Email Sender","Pošiljatelj e-pošte"
"Customer Confirmation Email Template","Predložak potvrdne e-pošte kupca"
"Admin Notification Email Template","Predložak e-pošte obavijesti administratora"
"Withdrawal Requests","Zahtjevi za odustanak"
"Withdrawals","Odustanci"
"Withdrawal","Odustanak"
"Withdraw","Odustani"
"Withdraw Order","Odustani od narudžbe"
"Submit Withdrawal","Podnesi odustanak"
"Withdrawal submitted","Odustanak podnesen"
"Withdrawal period expired","Rok za odustanak istekao"
"Withdrawal for Order #%1","Odustanak od narudžbe #%1"
"Withdrawal Successfully Submitted","Odustanak uspješno podnesen"
"Your withdrawal request for order #%1 has been received.","Vaš zahtjev za odustanak od narudžbe #%1 je primljen."
"You will receive a confirmation email shortly.","Uskoro ćete primiti potvrdnu e-poštu."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Trgovina će vas kontaktirati glede sljedećih koraka (npr. povrat robe, povrat novca)."
"Back to My Orders","Natrag na moje narudžbe"
"Continue Shopping","Nastavi kupovinu"
"Search Order for Withdrawal","Pretraži narudžbu za odustanak"
"Please enter your order number and the email address used for the order to find your order.","Unesite broj narudžbe i e-adresu korištenu pri narudžbi."
"Order Number","Broj narudžbe"
"Email Address","E-adresa"
"Search Order","Pretraži narudžbu"
"Order Date","Datum narudžbe"
"Order Status","Status narudžbe"
"Order Total","Ukupan iznos narudžbe"
"Items Ordered","Naručeni artikli"
"Product Name","Naziv proizvoda"
"SKU","SKU"
"Qty","Kol."
"Price","Cijena"
"Subtotal","Međuzbir"
"Withdrawal deadline:","Rok za odustanak:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Podnošenjem odustanka izjavljujete da želite raskinuti ugovor o kupnji za ovu narudžbu."
"A withdrawal request has already been submitted for this order.","Zahtjev za odustanak već je podnesen za ovu narudžbu."
"The withdrawal period for this order has expired. The deadline was: %1","Rok za odustanak od ove narudžbe je istekao. Rok je bio: %1"
"Back","Natrag"
"Confirm Withdrawal","Potvrdi odustanak"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Jeste li sigurni da želite podnijeti odustanak za ovu narudžbu? Ova radnja se ne može poništiti."
"Cancel","Odustani"
"Yes, Submit Withdrawal","Da, podnesi odustanak"
"The order could not be found.","Narudžba nije pronađena."
"Invalid form key. Please try again.","Nevažeći ključ obrasca. Pokušajte ponovo."
