"Withdrawal Settings","Ustawienia odstąpienia"
"General Settings","Ustawienia ogólne"
"Enable Module","Włącz moduł"
"Notification Email","E-mail powiadomień"
"Withdrawal Period (Days)","Okres odstąpienia (dni)"
"Email Settings","Ustawienia e-mail"
"Email Sender","Nadawca e-mail"
"Customer Confirmation Email Template","Szablon e-mail potwierdzenia klienta"
"Admin Notification Email Template","Szablon e-mail powiadomień administratora"
"Withdrawal Requests","Wnioski o odstąpienie"
"Withdrawals","Odstąpienia"
"Withdrawal","Odstąpienie"
"Withdraw","Odstąp"
"Withdraw Order","Odstąp od zamówienia"
"Submit Withdrawal","Złóż odstąpienie"
"Withdrawal submitted","Odstąpienie złożone"
"Withdrawal period expired","Termin odstąpienia minął"
"Withdrawal for Order #%1","Odstąpienie od zamówienia #%1"
"Withdrawal Successfully Submitted","Odstąpienie złożone pomyślnie"
"Your withdrawal request for order #%1 has been received.","Twój wniosek o odstąpienie od zamówienia #%1 został otrzymany."
"You will receive a confirmation email shortly.","Wkrótce otrzymasz e-mail potwierdzający."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Sklep skontaktuje się z Tobą w sprawie kolejnych kroków (np. zwrot towaru, refundacja)."
"Back to My Orders","Wróć do moich zamówień"
"Continue Shopping","Kontynuuj zakupy"
"Search Order for Withdrawal","Szukaj zamówienia do odstąpienia"
"Please enter your order number and the email address used for the order to find your order.","Podaj numer zamówienia i adres e-mail użyty przy zamówieniu."
"Order Number","Numer zamówienia"
"Email Address","Adres e-mail"
"Search Order","Szukaj zamówienia"
"Order Date","Data zamówienia"
"Order Status","Status zamówienia"
"Order Total","Suma zamówienia"
"Items Ordered","Zamówione produkty"
"Product Name","Nazwa produktu"
"SKU","SKU"
"Qty","Ilość"
"Price","Cena"
"Subtotal","Suma częściowa"
"Withdrawal deadline:","Termin odstąpienia:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Składając odstąpienie, oświadczasz, że chcesz odstąpić od umowy kupna dla tego zamówienia."
"A withdrawal request has already been submitted for this order.","Dla tego zamówienia złożono już wniosek o odstąpienie."
"The withdrawal period for this order has expired. The deadline was: %1","Termin odstąpienia dla tego zamówienia minął. Termin był: %1"
"Back","Wróć"
"Confirm Withdrawal","Potwierdź odstąpienie"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Czy na pewno chcesz złożyć odstąpienie od tego zamówienia? Tej akcji nie można cofnąć."
"Cancel","Anuluj"
"Yes, Submit Withdrawal","Tak, złóż odstąpienie"
"The order could not be found.","Nie można znaleźć zamówienia."
"Invalid form key. Please try again.","Nieprawidłowy klucz formularza. Spróbuj ponownie."
"The withdrawal function is currently not available.","Funkcja odstąpienia jest aktualnie niedostępna."
"No order specified.","Nie podano zamówienia."
"Please log in to submit a withdrawal.","Zaloguj się, aby złożyć odstąpienie."
"You are not authorized to withdraw this order.","Nie masz uprawnień do odstąpienia od tego zamówienia."
"You are not authorized to view this order.","Nie masz uprawnień do wyświetlenia tego zamówienia."
"The provided email does not match the order.","Podany adres e-mail nie pasuje do zamówienia."
"A withdrawal request already exists for this order.","Dla tego zamówienia istnieje już wniosek o odstąpienie."
"The withdrawal period for this order has expired.","Termin odstąpienia dla tego zamówienia minął."
"Your withdrawal request was submitted.","Twój wniosek o odstąpienie został złożony."
"Unable to submit withdrawal request. Please try again.","Nie można złożyć wniosku o odstąpienie. Spróbuj ponownie."
"Withdrawal requested by customer on %1.","Odstąpienie złożone przez klienta dnia %1."
"Please enter both order number and email address.","Podaj numer zamówienia i adres e-mail."
"No order found with the given order number and email address.","Nie znaleziono zamówienia o podanym numerze i adresie e-mail."
"Invalid request.","Nieprawidłowe żądanie."
"Order #","Zamówienie nr"
"Customer Name","Imię i nazwisko klienta"
"Customer Email","E-mail klienta"
"Status","Status"
"Pending","Oczekujące"
"Confirmed","Potwierdzone"
"Rejected","Odrzucone"
"Order Placed At","Zamówienie złożone"
"Withdrawal Requested At","Odstąpienie złożone"
"Comment","Komentarz"
"View Order","Wyświetl zamówienie"
"ID","ID"
"e.g. 000000001","np. 000000001"
"your@email.com","twoj@email.com"
"Enable or disable the withdrawal button functionality.","Włącz lub wyłącz funkcjonalność przycisku odstąpienia."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Adres e-mail do otrzymywania powiadomień o odstąpieniu. Jeśli pusty, zostanie użyty ogólny e-mail sklepu."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Liczba dni po wysyłce ostatniej części zamówienia, w których dozwolone jest odstąpienie. Domyślnie: 14 dni."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","To zamówienie nie zostało jeszcze wysłane. Możesz odstąpić w dowolnym momencie do czasu otrzymania towaru."
"Email template sent to the customer after withdrawal request.","Szablon e-mail wysyłany do klienta po złożeniu wniosku o odstąpienie."
"Email template sent to the shop owner after withdrawal request.","Szablon e-mail wysyłany do właściciela sklepu po złożeniu wniosku o odstąpienie."
"Withdrawal Confirmation for Order #%order_increment_id","Potwierdzenie odstąpienia od zamówienia #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nowy wniosek o odstąpienie od zamówienia #%order_increment_id"
"Dear %customer_name,","Szanowny/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Otrzymaliśmy Twój wniosek o odstąpienie od zamówienia #%order_increment_id."
"Your withdrawal request has been registered successfully.","Twój wniosek o odstąpienie został pomyślnie zarejestrowany."
"Order Number:","Numer zamówienia:"
"Order Date:","Data zamówienia:"
"Withdrawal Requested:","Odstąpienie złożone:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Sklep przetworzy Twój wniosek o odstąpienie i skontaktuje się z Tobą w sprawie kolejnych kroków (np. zwrot, refundacja)."
"If you have any questions, please contact us.","Jeśli masz pytania, prosimy o kontakt."
"A new withdrawal request has been submitted.","Złożono nowy wniosek o odstąpienie."
"Customer Name:","Imię i nazwisko klienta:"
"Customer Email:","E-mail klienta:"
"Please review this withdrawal request and take the necessary steps.","Sprawdź ten wniosek o odstąpienie i podejmij niezbędne kroki."
