"Withdrawal Settings","Herroepingsinstellingen"
"General Settings","Algemene instellingen"
"Enable Module","Module inschakelen"
"Notification Email","Notificatie-e-mail"
"Withdrawal Period (Days)","Herroepingstermijn (dagen)"
"Email Settings","E-mailinstellingen"
"Email Sender","E-mailafzender"
"Customer Confirmation Email Template","E-mailsjabloon bevestiging klant"
"Admin Notification Email Template","E-mailsjabloon adminnotificatie"
"Withdrawal Requests","Herroepingsverzoeken"
"Withdrawals","Herroepingen"
"Withdrawal","Herroeping"
"Withdraw","Herroepen"
"Withdraw Order","Bestelling herroepen"
"Submit Withdrawal","Herroeping indienen"
"Withdrawal submitted","Herroeping ingediend"
"Withdrawal period expired","Herroepingstermijn verstreken"
"Withdrawal for Order #%1","Herroeping voor bestelling #%1"
"Withdrawal Successfully Submitted","Herroeping succesvol ingediend"
"Your withdrawal request for order #%1 has been received.","Uw herroepingsverzoek voor bestelling #%1 is ontvangen."
"You will receive a confirmation email shortly.","U ontvangt binnenkort een bevestigingsmail."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","De winkel neemt contact met u op over de volgende stappen (bijv. retournering van goederen, terugbetaling)."
"Back to My Orders","Terug naar mijn bestellingen"
"Continue Shopping","Verder winkelen"
"Search Order for Withdrawal","Bestelling zoeken voor herroeping"
"Please enter your order number and the email address used for the order to find your order.","Voer uw bestelnummer en het e-mailadres in dat voor de bestelling is gebruikt."
"Order Number","Bestelnummer"
"Email Address","E-mailadres"
"Search Order","Bestelling zoeken"
"Order Date","Besteldatum"
"Order Status","Bestelstatus"
"Order Total","Besteltotaal"
"Items Ordered","Bestelde artikelen"
"Product Name","Productnaam"
"SKU","SKU"
"Qty","Aantal"
"Price","Prijs"
"Subtotal","Subtotaal"
"Withdrawal deadline:","Herroepingstermijn:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Door de herroeping in te dienen, verklaart u dat u de koopovereenkomst voor deze bestelling wilt herroepen."
"A withdrawal request has already been submitted for this order.","Er is al een herroepingsverzoek ingediend voor deze bestelling."
"The withdrawal period for this order has expired. The deadline was: %1","De herroepingstermijn voor deze bestelling is verstreken. De deadline was: %1"
"Back","Terug"
"Confirm Withdrawal","Herroeping bevestigen"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Weet u zeker dat u de herroeping voor deze bestelling wilt indienen? Deze actie kan niet ongedaan worden gemaakt."
"Cancel","Annuleren"
"Yes, Submit Withdrawal","Ja, herroeping indienen"
"The order could not be found.","De bestelling kon niet worden gevonden."
"Invalid form key. Please try again.","Ongeldige formuliersleutel. Probeer het opnieuw."
"The withdrawal function is currently not available.","De herroepingsfunctie is momenteel niet beschikbaar."
"No order specified.","Geen bestelling opgegeven."
"Please log in to submit a withdrawal.","Log in om een herroeping in te dienen."
"You are not authorized to withdraw this order.","U bent niet gemachtigd om deze bestelling te herroepen."
"You are not authorized to view this order.","U bent niet gemachtigd om deze bestelling te bekijken."
"The provided email does not match the order.","Het opgegeven e-mailadres komt niet overeen met de bestelling."
"A withdrawal request already exists for this order.","Er bestaat al een herroepingsverzoek voor deze bestelling."
"The withdrawal period for this order has expired.","De herroepingstermijn voor deze bestelling is verstreken."
"Your withdrawal request was submitted.","Uw herroepingsverzoek is ingediend."
"Unable to submit withdrawal request. Please try again.","Kan het herroepingsverzoek niet indienen. Probeer het opnieuw."
"Withdrawal requested by customer on %1.","Herroeping aangevraagd door klant op %1."
"Please enter both order number and email address.","Voer zowel het bestelnummer als het e-mailadres in."
"No order found with the given order number and email address.","Geen bestelling gevonden met het opgegeven bestelnummer en e-mailadres."
"Invalid request.","Ongeldig verzoek."
"Order #","Bestelling #"
"Customer Name","Klantnaam"
"Customer Email","Klant-e-mail"
"Status","Status"
"Pending","In afwachting"
"Confirmed","Bevestigd"
"Rejected","Afgewezen"
"Order Placed At","Bestelling geplaatst op"
"Withdrawal Requested At","Herroeping aangevraagd op"
"Comment","Opmerking"
"View Order","Bestelling bekijken"
"ID","ID"
"e.g. 000000001","bijv. 000000001"
"your@email.com","uw@email.com"
"Enable or disable the withdrawal button functionality.","Schakel de functionaliteit van de herroepingsknop in of uit."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","E-mailadres voor herroepingsnotificaties. Als leeg, wordt het algemene winkel-e-mailadres gebruikt."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Aantal dagen na de laatste deelzending waarbinnen herroeping is toegestaan. Standaard: 14 dagen."
