"Withdrawal Settings","Socruithe aistarraingthe"
"General Settings","Socruithe ginearálta"
"Enable Module","Cumasaigh an modúl"
"Notification Email","Ríomhphost fógra"
"Withdrawal Period (Days)","Tréimhse aistarraingthe (laethanta)"
"Email Settings","Socruithe ríomhphoist"
"Email Sender","Seoltóir ríomhphoist"
"Customer Confirmation Email Template","Teimpléad ríomhphoist deimhnithe custaiméara"
"Admin Notification Email Template","Teimpléad ríomhphoist fógra riarthóra"
"Withdrawal Requests","Iarratais aistarraingthe"
"Withdrawals","Aistarraingí"
"Withdrawal","Aistarraingt"
"Withdraw","Aistarraing"
"Withdraw Order","Aistarraing ordú"
"Submit Withdrawal","Cuir aistarraingt isteach"
"Withdrawal submitted","Aistarraingt curtha isteach"
"Withdrawal period expired","Tréimhse aistarraingthe caite"
"Withdrawal for Order #%1","Aistarraingt d'ordú #%1"
"Withdrawal Successfully Submitted","Aistarraingt curtha isteach go rathúil"
"Your withdrawal request for order #%1 has been received.","Fuarthas d'iarratas aistarraingthe d'ordú #%1."
"You will receive a confirmation email shortly.","Gheobhaidh tú ríomhphost deimhnithe go luath."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Rachaidh an siopa i dteagmháil leat faoi na chéad chéimeanna eile (m.sh. earraí a thabhairt ar ais, aisíocaíocht)."
"Back to My Orders","Ar ais chuig mo chuid orduithe"
"Continue Shopping","Lean ar aghaidh ag siopadóireacht"
"Search Order for Withdrawal","Cuardaigh ordú le haghaidh aistarraingthe"
"Please enter your order number and the email address used for the order to find your order.","Cuir isteach d'uimhir ordaithe agus an seoladh ríomhphoist a úsáideadh don ordú."
"Order Number","Uimhir ordaithe"
"Email Address","Seoladh ríomhphoist"
"Search Order","Cuardaigh ordú"
"Order Date","Dáta ordaithe"
"Order Status","Stádas ordaithe"
"Order Total","Iomlán ordaithe"
"Items Ordered","Earraí ordaithe"
"Product Name","Ainm táirge"
"SKU","SKU"
"Qty","Cainníocht"
"Price","Praghas"
"Subtotal","Fo-iomlán"
"Withdrawal deadline:","Spriocdháta aistarraingthe:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Trí aistarraingt a chur isteach, dearbhaíonn tú gur mian leat conradh ceannaigh an ordaithe seo a chúlghairm."
"A withdrawal request has already been submitted for this order.","Tá iarratas aistarraingthe curtha isteach cheana don ordú seo."
"The withdrawal period for this order has expired. The deadline was: %1","Tá tréimhse aistarraingthe an ordaithe seo caite. Ba é an spriocdháta: %1"
"Back","Ar ais"
"Confirm Withdrawal","Deimhnigh aistarraingt"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","An bhfuil tú cinnte gur mian leat aistarraingt a chur isteach don ordú seo? Ní féidir an gníomh seo a chealú."
"Cancel","Cealaigh"
"Yes, Submit Withdrawal","Sea, cuir aistarraingt isteach"
