"Withdrawal Settings","Peruutusoikeuden asetukset"
"General Settings","Yleiset asetukset"
"Enable Module","Ota moduuli käyttöön"
"Notification Email","Ilmoitussähköposti"
"Withdrawal Period (Days)","Peruutusaika (päivää)"
"Email Settings","Sähköpostiasetukset"
"Email Sender","Sähköpostin lähettäjä"
"Customer Confirmation Email Template","Asiakkaan vahvistussähköpostimalli"
"Admin Notification Email Template","Järjestelmänvalvojan ilmoitussähköpostimalli"
"Withdrawal Requests","Peruutuspyynnöt"
"Withdrawals","Peruutukset"
"Withdrawal","Peruutus"
"Withdraw","Peruuta"
"Withdraw Order","Peruuta tilaus"
"Submit Withdrawal","Lähetä peruutus"
"Withdrawal submitted","Peruutus lähetetty"
"Withdrawal period expired","Peruutuksen määräaika umpeutunut"
"Withdrawal for Order #%1","Peruutus tilaukselle #%1"
"Withdrawal Successfully Submitted","Peruutus lähetetty onnistuneesti"
"Your withdrawal request for order #%1 has been received.","Peruutuspyyntösi tilaukselle #%1 on vastaanotettu."
"You will receive a confirmation email shortly.","Saat vahvistussähköpostin pian."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Kauppa ottaa sinuun yhteyttä seuraavista vaiheista (esim. tavaran palautus, hyvitys)."
"Back to My Orders","Takaisin tilauksiin"
"Continue Shopping","Jatka ostoksia"
"Search Order for Withdrawal","Hae tilaus peruutusta varten"
"Please enter your order number and the email address used for the order to find your order.","Anna tilausnumerosi ja tilauksessa käyttämäsi sähköpostiosoite."
"Order Number","Tilausnumero"
"Email Address","Sähköpostiosoite"
"Search Order","Hae tilaus"
"Order Date","Tilauspäivä"
"Order Status","Tilauksen tila"
"Order Total","Tilauksen summa"
"Items Ordered","Tilatut tuotteet"
"Product Name","Tuotteen nimi"
"SKU","SKU"
"Qty","Määrä"
"Price","Hinta"
"Subtotal","Välisumma"
"Withdrawal deadline:","Peruutuksen määräaika:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Lähettämällä peruutuksen ilmoitat haluavasi peruuttaa tämän tilauksen kauppasopimuksen."
"A withdrawal request has already been submitted for this order.","Tälle tilaukselle on jo lähetetty peruutuspyyntö."
"The withdrawal period for this order has expired. The deadline was: %1","Tämän tilauksen peruutusaika on umpeutunut. Määräaika oli: %1"
"Back","Takaisin"
"Confirm Withdrawal","Vahvista peruutus"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Haluatko varmasti lähettää peruutuksen tälle tilaukselle? Tätä toimintoa ei voi kumota."
"Cancel","Peruuta"
"Yes, Submit Withdrawal","Kyllä, lähetä peruutus"
"The order could not be found.","Tilausta ei löydy."
"Invalid form key. Please try again.","Virheellinen lomakeavain. Yritä uudelleen."
"The withdrawal function is currently not available.","Peruutustoiminto ei ole tällä hetkellä käytettävissä."
"No order specified.","Tilausta ei ole määritetty."
"Please log in to submit a withdrawal.","Kirjaudu sisään lähettääksesi peruutuksen."
"You are not authorized to withdraw this order.","Sinulla ei ole valtuuksia peruuttaa tätä tilausta."
"You are not authorized to view this order.","Sinulla ei ole valtuuksia tarkastella tätä tilausta."
"The provided email does not match the order.","Annettu sähköpostiosoite ei vastaa tilausta."
"A withdrawal request already exists for this order.","Tälle tilaukselle on jo olemassa peruutuspyyntö."
"The withdrawal period for this order has expired.","Tämän tilauksen peruutusaika on umpeutunut."
"Your withdrawal request was submitted.","Peruutuspyyntösi on lähetetty."
"Unable to submit withdrawal request. Please try again.","Peruutuspyyntöä ei voida lähettää. Yritä uudelleen."
"Withdrawal requested by customer on %1.","Asiakas pyysi peruutusta %1."
"Please enter both order number and email address.","Anna sekä tilausnumero että sähköpostiosoite."
"No order found with the given order number and email address.","Tilausta ei löydy annetulla tilausnumerolla ja sähköpostiosoitteella."
"Invalid request.","Virheellinen pyyntö."
"Order #","Tilaus #"
"Customer Name","Asiakkaan nimi"
"Customer Email","Asiakkaan sähköposti"
"Status","Tila"
"Pending","Odottaa"
"Confirmed","Vahvistettu"
"Rejected","Hylätty"
"Order Placed At","Tilaus tehty"
"Withdrawal Requested At","Peruutus pyydetty"
"Comment","Kommentti"
"View Order","Näytä tilaus"
"ID","ID"
"e.g. 000000001","esim. 000000001"
