"Withdrawal Settings","Settings tal-irtirar"
"General Settings","Settings ġenerali"
"Enable Module","Attiva l-modulu"
"Notification Email","Email ta' notifika"
"Withdrawal Period (Days)","Perjodu ta' irtirar (ijiem)"
"Email Settings","Settings tal-email"
"Email Sender","Mittent tal-email"
"Customer Confirmation Email Template","Template tal-email ta' konferma għall-klijent"
"Admin Notification Email Template","Template tal-email ta' notifika għall-amministratur"
"Withdrawal Requests","Talbiet ta' irtirar"
"Withdrawals","Irtirar"
"Withdrawal","Irtirar"
"Withdraw","Irtira"
"Withdraw Order","Irtira l-ordni"
"Submit Withdrawal","Ibgħat l-irtirar"
"Withdrawal submitted","Irtirar mibgħut"
"Withdrawal period expired","Il-perjodu tal-irtirar skada"
"Withdrawal for Order #%1","Irtirar għall-ordni #%1"
"Withdrawal Successfully Submitted","L-irtirar intbagħat b'suċċess"
"Your withdrawal request for order #%1 has been received.","It-talba tiegħek ta' irtirar għall-ordni #%1 ġiet riċevuta."
"You will receive a confirmation email shortly.","Dalwaqt tirċievi email ta' konferma."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Il-ħanut se jikkuntattjak rigward il-passi li jmiss (pereż. ritorn tal-oġġetti, rimborż)."
"Back to My Orders","Lura għall-ordnijiet tiegħi"
"Continue Shopping","Kompli x-xirja"
"Search Order for Withdrawal","Fittex ordni għall-irtirar"
"Please enter your order number and the email address used for the order to find your order.","Jekk jogħġbok daħħal in-numru tal-ordni u l-indirizz tal-email użat għall-ordni."
"Order Number","Numru tal-ordni"
"Email Address","Indirizz tal-email"
"Search Order","Fittex ordni"
"Order Date","Data tal-ordni"
"Order Status","Status tal-ordni"
"Order Total","Total tal-ordni"
"Items Ordered","Oġġetti ordnati"
"Product Name","Isem il-prodott"
"SKU","SKU"
"Qty","Kwantità"
"Price","Prezz"
"Subtotal","Subtotal"
"Withdrawal deadline:","Skadenza tal-irtirar:"
