"Withdrawal Settings","Paramètres de rétractation"
"General Settings","Paramètres généraux"
"Enable Module","Activer le module"
"Notification Email","E-mail de notification"
"Withdrawal Period (Days)","Délai de rétractation (jours)"
"Email Settings","Paramètres e-mail"
"Email Sender","Expéditeur e-mail"
"Customer Confirmation Email Template","Modèle d'e-mail de confirmation client"
"Admin Notification Email Template","Modèle d'e-mail de notification admin"
"Withdrawal Requests","Demandes de rétractation"
"Withdrawals","Rétractations"
"Withdrawal","Rétractation"
"Withdraw","Se rétracter"
"Withdraw Order","Rétracter la commande"
"Submit Withdrawal","Soumettre la rétractation"
"Withdrawal submitted","Rétractation soumise"
"Withdrawal period expired","Délai de rétractation expiré"
"Withdrawal for Order #%1","Rétractation pour la commande #%1"
"Withdrawal Successfully Submitted","Rétractation soumise avec succès"
"Your withdrawal request for order #%1 has been received.","Votre demande de rétractation pour la commande #%1 a été reçue."
"You will receive a confirmation email shortly.","Vous recevrez un e-mail de confirmation sous peu."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","La boutique vous contactera concernant les prochaines étapes (p.ex. retour des marchandises, remboursement)."
"Back to My Orders","Retour à mes commandes"
"Continue Shopping","Continuer vos achats"
"Search Order for Withdrawal","Rechercher une commande pour rétractation"
"Please enter your order number and the email address used for the order to find your order.","Veuillez entrer votre numéro de commande et l'adresse e-mail utilisée pour la commande."
"Order Number","Numéro de commande"
"Email Address","Adresse e-mail"
"Search Order","Rechercher la commande"
"Order Date","Date de commande"
"Order Status","Statut de la commande"
"Order Total","Total de la commande"
"Items Ordered","Articles commandés"
"Product Name","Nom du produit"
"SKU","SKU"
"Qty","Qté"
"Price","Prix"
"Subtotal","Sous-total"
"Withdrawal deadline:","Date limite de rétractation :"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","En soumettant la rétractation, vous déclarez vouloir résilier le contrat d'achat pour cette commande."
"A withdrawal request has already been submitted for this order.","Une demande de rétractation a déjà été soumise pour cette commande."
"The withdrawal period for this order has expired. The deadline was: %1","Le délai de rétractation pour cette commande a expiré. La date limite était : %1"
"Back","Retour"
"Confirm Withdrawal","Confirmer la rétractation"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Êtes-vous sûr de vouloir soumettre la rétractation pour cette commande ? Cette action ne peut pas être annulée."
"Cancel","Annuler"
"Yes, Submit Withdrawal","Oui, soumettre la rétractation"
"The order could not be found.","La commande est introuvable."
"Invalid form key. Please try again.","Clé de formulaire invalide. Veuillez réessayer."
"The withdrawal function is currently not available.","La fonction de rétractation n'est actuellement pas disponible."
"No order specified.","Aucune commande spécifiée."
"Please log in to submit a withdrawal.","Veuillez vous connecter pour soumettre une rétractation."
"You are not authorized to withdraw this order.","Vous n'êtes pas autorisé à rétracter cette commande."
"You are not authorized to view this order.","Vous n'êtes pas autorisé à consulter cette commande."
"The provided email does not match the order.","L'e-mail fourni ne correspond pas à la commande."
"A withdrawal request already exists for this order.","Une demande de rétractation existe déjà pour cette commande."
"The withdrawal period for this order has expired.","Le délai de rétractation pour cette commande a expiré."
"Your withdrawal request was submitted.","Votre demande de rétractation a été soumise."
"Unable to submit withdrawal request. Please try again.","Impossible de soumettre la demande de rétractation. Veuillez réessayer."
"Withdrawal requested by customer on %1.","Rétractation demandée par le client le %1."
"Please enter both order number and email address.","Veuillez entrer le numéro de commande et l'adresse e-mail."
"No order found with the given order number and email address.","Aucune commande trouvée avec le numéro de commande et l'adresse e-mail fournis."
"Invalid request.","Requête invalide."
"Order #","Commande n°"
"Customer Name","Nom du client"
"Customer Email","E-mail du client"
"Status","Statut"
"Pending","En attente"
"Confirmed","Confirmé"
"Rejected","Rejeté"
"Order Placed At","Commande passée le"
