"Withdrawal Settings","Taganemise seaded"
"General Settings","Üldised seaded"
"Enable Module","Luba moodul"
"Notification Email","Teavituse e-post"
"Withdrawal Period (Days)","Taganemise tähtaeg (päeva)"
"Email Settings","E-posti seaded"
"Email Sender","E-posti saatja"
"Customer Confirmation Email Template","Kliendi kinnituse e-posti mall"
"Admin Notification Email Template","Administraatori teavituse e-posti mall"
"Withdrawal Requests","Taganemistaotlused"
"Withdrawals","Taganemised"
"Withdrawal","Taganemine"
"Withdraw","Taga"
"Withdraw Order","Taga tellimusest"
"Submit Withdrawal","Esita taganemine"
"Withdrawal submitted","Taganemine esitatud"
"Withdrawal period expired","Taganemise tähtaeg möödunud"
"Withdrawal for Order #%1","Taganemine tellimusest #%1"
"Withdrawal Successfully Submitted","Taganemine edukalt esitatud"
"Your withdrawal request for order #%1 has been received.","Teie taganemistaotlus tellimuse #%1 jaoks on vastu võetud."
"You will receive a confirmation email shortly.","Saate peagi kinnituse e-posti."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Kauplus võtab teiega ühendust järgmiste sammude osas (nt kaupade tagastamine, tagastus)."
"Back to My Orders","Tagasi minu tellimuste juurde"
"Continue Shopping","Jätka ostlemist"
"Search Order for Withdrawal","Otsi tellimust taganemiseks"
"Please enter your order number and the email address used for the order to find your order.","Sisestage oma tellimuse number ja tellimiseks kasutatud e-posti aadress."
"Order Number","Tellimuse number"
"Email Address","E-posti aadress"
"Search Order","Otsi tellimust"
"Order Date","Tellimuse kuupäev"
"Order Status","Tellimuse olek"
"Order Total","Tellimuse kogusumma"
"Items Ordered","Tellitud tooted"
"Product Name","Toote nimi"
"SKU","SKU"
"Qty","Kogus"
"Price","Hind"
"Subtotal","Vahesumma"
"Withdrawal deadline:","Taganemise tähtaeg:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Taganemise esitamisega kinnitate, et soovite selle tellimuse ostu-müügilepingust taganeda."
"A withdrawal request has already been submitted for this order.","Selle tellimuse jaoks on juba esitatud taganemistaotlus."
"The withdrawal period for this order has expired. The deadline was: %1","Selle tellimuse taganemise tähtaeg on möödunud. Tähtaeg oli: %1"
"Back","Tagasi"
"Confirm Withdrawal","Kinnita taganemine"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Kas olete kindel, et soovite selle tellimuse jaoks taganemise esitada? Seda toimingut ei saa tagasi võtta."
"Cancel","Tühista"
"Yes, Submit Withdrawal","Jah, esita taganemine"
"The order could not be found.","Tellimust ei leitud."
"Invalid form key. Please try again.","Vigane vormi võti. Palun proovige uuesti."
"The withdrawal function is currently not available.","Taganemise funktsioon pole praegu saadaval."
"No order specified.","Ühtegi tellimust pole määratud."
"Please log in to submit a withdrawal.","Palun logige sisse taganemise esitamiseks."
"You are not authorized to withdraw this order.","Teil pole luba sellest tellimusest taganeda."
"You are not authorized to view this order.","Teil pole luba seda tellimust vaadata."
"The provided email does not match the order.","Esitatud e-posti aadress ei vasta tellimusele."
"A withdrawal request already exists for this order.","Selle tellimuse jaoks on juba olemas taganemistaotlus."
"The withdrawal period for this order has expired.","Selle tellimuse taganemise tähtaeg on möödunud."
"Your withdrawal request was submitted.","Teie taganemistaotlus esitati."
"Unable to submit withdrawal request. Please try again.","Taganemistaotlust ei saa esitada. Palun proovige uuesti."
