"Withdrawal Settings","Configuración de desistimiento"
"General Settings","Configuración general"
"Enable Module","Activar módulo"
"Notification Email","Correo de notificación"
"Withdrawal Period (Days)","Período de desistimiento (días)"
"Email Settings","Configuración de correo"
"Email Sender","Remitente de correo"
"Customer Confirmation Email Template","Plantilla de correo de confirmación al cliente"
"Admin Notification Email Template","Plantilla de correo de notificación al administrador"
"Withdrawal Requests","Solicitudes de desistimiento"
"Withdrawals","Desistimientos"
"Withdrawal","Desistimiento"
"Withdraw","Desistir"
"Withdraw Order","Desistir del pedido"
"Submit Withdrawal","Enviar desistimiento"
"Withdrawal submitted","Desistimiento enviado"
"Withdrawal period expired","Plazo de desistimiento vencido"
"Withdrawal for Order #%1","Desistimiento del pedido #%1"
"Withdrawal Successfully Submitted","Desistimiento enviado con éxito"
"Your withdrawal request for order #%1 has been received.","Su solicitud de desistimiento para el pedido #%1 ha sido recibida."
"You will receive a confirmation email shortly.","Recibirá un correo de confirmación en breve."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","La tienda se pondrá en contacto con usted sobre los próximos pasos (p.ej. devolución de mercancía, reembolso)."
"Back to My Orders","Volver a mis pedidos"
"Continue Shopping","Seguir comprando"
"Search Order for Withdrawal","Buscar pedido para desistimiento"
"Please enter your order number and the email address used for the order to find your order.","Introduzca su número de pedido y la dirección de correo utilizada para el pedido."
"Order Number","Número de pedido"
"Email Address","Dirección de correo"
"Search Order","Buscar pedido"
"Order Date","Fecha del pedido"
"Order Status","Estado del pedido"
"Order Total","Total del pedido"
"Items Ordered","Artículos pedidos"
"Product Name","Nombre del producto"
"SKU","SKU"
"Qty","Cant."
"Price","Precio"
"Subtotal","Subtotal"
"Withdrawal deadline:","Plazo de desistimiento:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Al enviar el desistimiento, declara que desea revocar el contrato de compra de este pedido."
"A withdrawal request has already been submitted for this order.","Ya se ha enviado una solicitud de desistimiento para este pedido."
"The withdrawal period for this order has expired. The deadline was: %1","El plazo de desistimiento para este pedido ha vencido. El plazo era: %1"
"Back","Volver"
"Confirm Withdrawal","Confirmar desistimiento"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","¿Está seguro de que desea enviar el desistimiento para este pedido? Esta acción no se puede deshacer."
"Cancel","Cancelar"
"Yes, Submit Withdrawal","Sí, enviar desistimiento"
"The order could not be found.","No se pudo encontrar el pedido."
"Invalid form key. Please try again.","Clave de formulario no válida. Por favor, inténtelo de nuevo."
"The withdrawal function is currently not available.","La función de desistimiento no está disponible actualmente."
"No order specified.","No se ha especificado ningún pedido."
"Please log in to submit a withdrawal.","Inicie sesión para enviar un desistimiento."
"You are not authorized to withdraw this order.","No está autorizado para desistir de este pedido."
"You are not authorized to view this order.","No está autorizado para ver este pedido."
"The provided email does not match the order.","El correo proporcionado no coincide con el pedido."
"A withdrawal request already exists for this order.","Ya existe una solicitud de desistimiento para este pedido."
"The withdrawal period for this order has expired.","El plazo de desistimiento para este pedido ha vencido."
"Your withdrawal request was submitted.","Su solicitud de desistimiento ha sido enviada."
"Unable to submit withdrawal request. Please try again.","No se puede enviar la solicitud de desistimiento. Por favor, inténtelo de nuevo."
"Withdrawal requested by customer on %1.","Desistimiento solicitado por el cliente el %1."
"Please enter both order number and email address.","Introduzca el número de pedido y la dirección de correo."
"No order found with the given order number and email address.","No se encontró ningún pedido con el número de pedido y la dirección de correo indicados."
"Invalid request.","Solicitud no válida."
"Order #","Pedido n.º"
"Customer Name","Nombre del cliente"
"Customer Email","Correo del cliente"
"Status","Estado"
"Pending","Pendiente"
"Confirmed","Confirmado"
"Rejected","Rechazado"
"Order Placed At","Pedido realizado el"
"Withdrawal Requested At","Desistimiento solicitado el"
"Comment","Comentario"
"View Order","Ver pedido"
"ID","ID"
"e.g. 000000001","p.ej. 000000001"
"your@email.com","su@correo.com"
"Enable or disable the withdrawal button functionality.","Activar o desactivar la funcionalidad del botón de desistimiento."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Dirección de correo para recibir notificaciones de desistimiento. Si está vacío, se usará el correo general de la tienda."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Número de días tras el último envío parcial durante los cuales se permite el desistimiento. Predeterminado: 14 días."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Este pedido aún no ha sido enviado. Puede desistir en cualquier momento hasta que reciba la mercancía."
"Email template sent to the customer after withdrawal request.","Plantilla de correo enviada al cliente tras la solicitud de desistimiento."
"Email template sent to the shop owner after withdrawal request.","Plantilla de correo enviada al propietario de la tienda tras la solicitud de desistimiento."
"Withdrawal Confirmation for Order #%order_increment_id","Confirmación de desistimiento para el pedido #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nueva solicitud de desistimiento para el pedido #%order_increment_id"
"Dear %customer_name,","Estimado/a %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Hemos recibido su solicitud de desistimiento para el pedido #%order_increment_id."
"Your withdrawal request has been registered successfully.","Su solicitud de desistimiento ha sido registrada con éxito."
"Order Number:","Número de pedido:"
"Order Date:","Fecha del pedido:"
"Withdrawal Requested:","Desistimiento solicitado:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","La tienda procesará su solicitud de desistimiento y se pondrá en contacto con usted sobre los próximos pasos (p.ej. devolución, reembolso)."
"If you have any questions, please contact us.","Si tiene alguna pregunta, no dude en contactarnos."
"A new withdrawal request has been submitted.","Se ha enviado una nueva solicitud de desistimiento."
"Customer Name:","Nombre del cliente:"
"Customer Email:","Correo del cliente:"
"Please review this withdrawal request and take the necessary steps.","Revise esta solicitud de desistimiento y tome las medidas necesarias."
"Allowed Order Statuses","Estados de pedido permitidos"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","El desistimiento solo es posible para pedidos con uno de estos estados. Predeterminado: pendiente, procesando, completado."
"Withdrawal is only possible for orders with one of these statuses.","El desistimiento solo es posible para pedidos con uno de estos estados."
"All items of this order have already been withdrawn.","Todos los artículos de este pedido ya han sido revocados."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Algunos artículos de este pedido ya han sido revocados. Los artículos marcados a continuación ya no están disponibles para revocación."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Seleccione los artículos que desea revocar. Puede revocar artículos individuales (revocación parcial) o todos los artículos a la vez."
"Select Items to Withdraw","Seleccionar artículos para revocar"
"Select All","Seleccionar todo"
"Qty Ordered","Cantidad pedida"
"Qty to Withdraw","Cantidad a revocar"
"Withdrawn","Revocado"
"Please select at least one item to withdraw.","Seleccione al menos un artículo para revocar."
"Invalid item selection.","Selección de artículo no válida."
"One or more of the selected items have already been withdrawn and cannot be withdrawn again.","Uno o más de los artículos seleccionados ya han sido revocados y no pueden volver a revocarse."
"Partial withdrawal is not enabled. Please withdraw the entire order.","La revocación parcial no está habilitada. Revoque el pedido completo."
"Partial withdrawal requested by customer on %1. Items: %2","Revocación parcial solicitada por el cliente el %1. Artículos: %2"
"partial withdrawal","revocación parcial"
"Allow Partial Withdrawal","Permitir revocación parcial"
"Allow customers to withdraw individual items instead of the entire order.","Permite a los clientes revocar artículos individuales en lugar del pedido completo."
"Default: No.","Predeterminado: No."
"Type","Tipo"
"Full","Completo"
"Partial","Parcial"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Hemos recibido su %withdrawal_type_label para el pedido #%order_increment_id."
"A new %withdrawal_type_label has been submitted.","Se ha enviado una nueva %withdrawal_type_label."
"Withdrawn Items:","Artículos revocados:"
"View Details","Ver detalles"
"Back to Withdrawal Requests","Volver a solicitudes de revocación"
"Withdrawal Request #%1","Solicitud de revocación nº %1"
"Withdrawn Items (Partial Withdrawal)","Artículos revocados (revocación parcial)"
"Withdrawn Items (Full Withdrawal)","Artículos revocados (revocación completa)"
"No item details recorded for this withdrawal request.","No se han registrado detalles de artículos para esta solicitud de revocación."
"Qty Withdrawn","Cantidad revocada"
"Confirm this withdrawal request?","¿Confirmar esta solicitud de revocación?"
"Reject this withdrawal request?","¿Rechazar esta solicitud de revocación?"
"Withdrawal Submitted Successfully","Desistimiento enviado con éxito"
"withdrawal","revocación"
"Withdrawal request confirmed by the shop on %1.","La solicitud de desistimiento fue confirmada por la tienda el %1."
"Withdrawal request rejected by the shop on %1.","La solicitud de desistimiento fue rechazada por la tienda el %1."
"View Shipment #%1","Ver envío #%1"
"Print Packing Slip #%1","Imprimir albarán #%1"
