"Withdrawal Settings","Elállási beállítások"
"General Settings","Általános beállítások"
"Enable Module","Modul engedélyezése"
"Notification Email","Értesítési e-mail"
"Withdrawal Period (Days)","Elállási határidő (nap)"
"Email Settings","E-mail beállítások"
"Email Sender","E-mail feladó"
"Customer Confirmation Email Template","Vevői visszaigazoló e-mail sablon"
"Admin Notification Email Template","Rendszergazdai értesítő e-mail sablon"
"Withdrawal Requests","Elállási kérelmek"
"Withdrawals","Elállások"
"Withdrawal","Elállás"
"Withdraw","Elállás"
"Withdraw Order","Elállás a rendeléstől"
"Submit Withdrawal","Elállás benyújtása"
"Withdrawal submitted","Elállás benyújtva"
"Withdrawal period expired","Elállási határidő lejárt"
"Withdrawal for Order #%1","Elállás a #%1 rendeléstől"
"Withdrawal Successfully Submitted","Elállás sikeresen benyújtva"
"Your withdrawal request for order #%1 has been received.","A #%1 rendelésre vonatkozó elállási kérelme beérkezett."
"You will receive a confirmation email shortly.","Hamarosan megerősítő e-mailt kap."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Az üzlet felveszi Önnel a kapcsolatot a következő lépésekről (pl. áru visszaküldése, visszatérítés)."
"Back to My Orders","Vissza a rendelésekhez"
"Continue Shopping","Vásárlás folytatása"
"Search Order for Withdrawal","Rendelés keresése elálláshoz"
"Please enter your order number and the email address used for the order to find your order.","Adja meg a rendelésszámát és a rendeléshez használt e-mail-címet."
"Order Number","Rendelésszám"
"Email Address","E-mail-cím"
"Search Order","Rendelés keresése"
"Order Date","Rendelés dátuma"
"Order Status","Rendelés állapota"
"Order Total","Rendelés összege"
"Items Ordered","Megrendelt termékek"
"Product Name","Termék neve"
"SKU","SKU"
"Qty","Mennyiség"
"Price","Ár"
"Subtotal","Részösszeg"
"Withdrawal deadline:","Elállási határidő:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Az elállás benyújtásával kijelenti, hogy vissza kíván lépni ezen rendelés adásvételi szerződésétől."
"A withdrawal request has already been submitted for this order.","Ehhez a rendeléshez már benyújtottak elállási kérelmet."
"The withdrawal period for this order has expired. The deadline was: %1","Ennél a rendelésnél az elállási határidő lejárt. A határidő: %1 volt."
"Back","Vissza"
"Confirm Withdrawal","Elállás megerősítése"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Biztosan be szeretné nyújtani az elállást ehhez a rendeléshez? Ez a művelet nem vonható vissza."
"Cancel","Mégse"
"Yes, Submit Withdrawal","Igen, elállás benyújtása"
"The order could not be found.","A rendelés nem található."
"Invalid form key. Please try again.","Érvénytelen űrlapkulcs. Kérjük, próbálja újra."
"The withdrawal function is currently not available.","Az elállási funkció jelenleg nem érhető el."
"No order specified.","Nincs rendelés megadva."
"Please log in to submit a withdrawal.","Kérjük, jelentkezzen be az elállás benyújtásához."
"You are not authorized to withdraw this order.","Nincs jogosultsága elállni ettől a rendeléstől."
"You are not authorized to view this order.","Nincs jogosultsága megtekinteni ezt a rendelést."
"The provided email does not match the order.","A megadott e-mail-cím nem egyezik a rendeléssel."
"A withdrawal request already exists for this order.","Ehhez a rendeléshez már létezik elállási kérelem."
"The withdrawal period for this order has expired.","Ennél a rendelésnél az elállási határidő lejárt."
"Your withdrawal request was submitted.","Elállási kérelme benyújtásra került."
"Unable to submit withdrawal request. Please try again.","Nem sikerült benyújtani az elállási kérelmet. Kérjük, próbálja újra."
"Withdrawal requested by customer on %1.","Elállást kért az ügyfél %1-jén."
"Please enter both order number and email address.","Kérjük, adja meg a rendelésszámot és az e-mail-címet."
"No order found with the given order number and email address.","Nem található rendelés a megadott rendelésszámmal és e-mail-címmel."
"Invalid request.","Érvénytelen kérés."
"Order #","Rendelés #"
"Customer Name","Ügyfél neve"
"Customer Email","Ügyfél e-mailje"
"Status","Állapot"
"Pending","Függőben"
"Confirmed","Megerősítve"
"Rejected","Elutasítva"
"Order Placed At","Rendelés leadva"
"Withdrawal Requested At","Elállás kérve"
"Comment","Megjegyzés"
"View Order","Rendelés megtekintése"
"ID","ID"
"e.g. 000000001","pl. 000000001"
"your@email.com","az@emailje.hu"
"Enable or disable the withdrawal button functionality.","Az elállás gomb funkciójának engedélyezése vagy letiltása."
