"Withdrawal Settings","Definições de retratação"
"General Settings","Definições gerais"
"Enable Module","Ativar módulo"
"Notification Email","E-mail de notificação"
"Withdrawal Period (Days)","Prazo de retratação (dias)"
"Email Settings","Definições de e-mail"
"Email Sender","Remetente de e-mail"
"Customer Confirmation Email Template","Modelo de e-mail de confirmação ao cliente"
"Admin Notification Email Template","Modelo de e-mail de notificação ao administrador"
"Withdrawal Requests","Pedidos de retratação"
"Withdrawals","Retratações"
"Withdrawal","Retratação"
"Withdraw","Retratar-se"
"Withdraw Order","Retratar encomenda"
"Submit Withdrawal","Enviar retratação"
"Withdrawal submitted","Retratação enviada"
"Withdrawal period expired","Prazo de retratação expirado"
"Withdrawal for Order #%1","Retratação da encomenda #%1"
"Withdrawal Successfully Submitted","Retratação enviada com sucesso"
"Your withdrawal request for order #%1 has been received.","O seu pedido de retratação para a encomenda #%1 foi recebido."
"You will receive a confirmation email shortly.","Receberá em breve um e-mail de confirmação."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","A loja entrará em contacto consigo sobre os próximos passos (p.ex. devolução de produtos, reembolso)."
"Back to My Orders","Voltar às minhas encomendas"
"Continue Shopping","Continuar a comprar"
"Search Order for Withdrawal","Pesquisar encomenda para retratação"
"Please enter your order number and the email address used for the order to find your order.","Introduza o número da encomenda e o endereço de e-mail utilizado na encomenda."
"Order Number","Número da encomenda"
"Email Address","Endereço de e-mail"
"Search Order","Pesquisar encomenda"
"Order Date","Data da encomenda"
"Order Status","Estado da encomenda"
"Order Total","Total da encomenda"
"Items Ordered","Artigos encomendados"
"Product Name","Nome do produto"
"SKU","SKU"
"Qty","Qtd."
"Price","Preço"
"Subtotal","Subtotal"
"Withdrawal deadline:","Prazo de retratação:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Ao enviar a retratação, declara que deseja rescindir o contrato de compra desta encomenda."
"A withdrawal request has already been submitted for this order.","Já foi enviado um pedido de retratação para esta encomenda."
"The withdrawal period for this order has expired. The deadline was: %1","O prazo de retratação para esta encomenda expirou. O prazo era: %1"
"Back","Voltar"
"Confirm Withdrawal","Confirmar retratação"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Tem a certeza de que deseja enviar a retratação para esta encomenda? Esta ação não pode ser desfeita."
"Cancel","Cancelar"
"Yes, Submit Withdrawal","Sim, enviar retratação"
"The order could not be found.","A encomenda não foi encontrada."
"Invalid form key. Please try again.","Chave de formulário inválida. Por favor, tente novamente."
