"Withdrawal Settings","Fortrydelsesindstillinger"
"General Settings","Generelle indstillinger"
"Enable Module","Aktivér modul"
"Notification Email","Notifikations-e-mail"
"Withdrawal Period (Days)","Fortrydelsesperiode (dage)"
"Email Settings","E-mailindstillinger"
"Email Sender","E-mailafsender"
"Customer Confirmation Email Template","Kundebekræftelses-e-mailskabelon"
"Admin Notification Email Template","Admin-notifikations-e-mailskabelon"
"Withdrawal Requests","Fortrydelsesanmodninger"
"Withdrawals","Fortrydelser"
"Withdrawal","Fortrydelse"
"Withdraw","Fortryd"
"Withdraw Order","Fortryd ordre"
"Submit Withdrawal","Indsend fortrydelse"
"Withdrawal submitted","Fortrydelse indsendt"
"Period expired","Periode udløbet"
"Withdrawal for Order #%1","Fortrydelse for ordre #%1"
"Withdrawal Successfully Submitted","Fortrydelse indsendt"
"Your withdrawal request for order #%1 has been received.","Din fortrydelsesanmodning for ordre #%1 er modtaget."
"You will receive a confirmation email shortly.","Du modtager snart en bekræftelses-e-mail."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Butikken vil kontakte dig vedrørende de næste trin (f.eks. returnering af varer, refusion)."
"Back to My Orders","Tilbage til mine ordrer"
"Continue Shopping","Fortsæt med at handle"
"Search Order for Withdrawal","Søg ordre til fortrydelse"
"Please enter your order number and the email address used for the order to find your order.","Indtast dit ordrenummer og den e-mailadresse, der blev brugt til ordren."
"Order Number","Ordrenummer"
"Email Address","E-mailadresse"
"Search Order","Søg ordre"
"Order Date","Ordredato"
"Order Status","Ordrestatus"
"Order Total","Ordretotal"
"Items Ordered","Bestilte varer"
"Product Name","Produktnavn"
"SKU","SKU"
"Qty","Antal"
"Price","Pris"
"Subtotal","Subtotal"
"Withdrawal deadline:","Fortrydelsesdeadline:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Ved at indsende fortrydelsen erklærer du, at du ønsker at fortryde købsaftalen for denne ordre."
"A withdrawal request has already been submitted for this order.","Der er allerede indsendt en fortrydelsesanmodning for denne ordre."
"The withdrawal period for this order has expired. The deadline was: %1","Fortrydelsesperioden for denne ordre er udløbet. Deadline var: %1"
"Back","Tilbage"
"Confirm Withdrawal","Bekræft fortrydelse"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Er du sikker på, at du vil indsende fortrydelsen for denne ordre? Denne handling kan ikke fortrydes."
"Cancel","Annuller"
"Yes, Submit Withdrawal","Ja, indsend fortrydelse"
"The order could not be found.","Ordren kunne ikke findes."
"Invalid form key. Please try again.","Ugyldig formularnøgle. Prøv igen."
"The withdrawal function is currently not available.","Fortrydfelsesfunktionen er i øjeblikket ikke tilgængelig."
"No order specified.","Ingen ordre angivet."
"Please log in to submit a withdrawal.","Log ind for at indsende en fortrydelse."
"You are not authorized to withdraw this order.","Du er ikke autoriseret til at fortryde denne ordre."
"You are not authorized to view this order.","Du er ikke autoriseret til at se denne ordre."
"The provided email does not match the order.","Den angivne e-mailadresse stemmer ikke overens med ordren."
"A withdrawal request already exists for this order.","Der findes allerede en fortrydelsesanmodning for denne ordre."
"The withdrawal period for this order has expired.","Fortrydelsesperioden for denne ordre er udløbet."
"Your withdrawal request was submitted.","Din fortrydelsesanmodning er indsendt."
"Unable to submit withdrawal request. Please try again.","Kan ikke indsende fortrydelsesanmodning. Prøv igen."
"Withdrawal requested by customer on %1.","Fortrydelse anmodet af kunde den %1."
"Please enter both order number and email address.","Angiv både ordrenummer og e-mailadresse."
