"Withdrawal Settings","Impostazioni di recesso"
"General Settings","Impostazioni generali"
"Enable Module","Abilita modulo"
"Notification Email","E-mail di notifica"
"Withdrawal Period (Days)","Periodo di recesso (giorni)"
"Email Settings","Impostazioni e-mail"
"Email Sender","Mittente e-mail"
"Customer Confirmation Email Template","Modello e-mail di conferma cliente"
"Admin Notification Email Template","Modello e-mail di notifica admin"
"Withdrawal Requests","Richieste di recesso"
"Withdrawals","Recessi"
"Withdrawal","Recesso"
"Withdraw","Recedere"
"Withdraw Order","Recedere dall'ordine"
"Submit Withdrawal","Invia recesso"
"Withdrawal submitted","Recesso inviato"
"Withdrawal period expired","Periodo di recesso scaduto"
"Withdrawal for Order #%1","Recesso per l'ordine #%1"
"Withdrawal Successfully Submitted","Recesso inviato con successo"
"Your withdrawal request for order #%1 has been received.","La sua richiesta di recesso per l'ordine #%1 è stata ricevuta."
"You will receive a confirmation email shortly.","Riceverà a breve un'e-mail di conferma."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Il negozio la contatterà riguardo ai prossimi passi (es. restituzione della merce, rimborso)."
"Back to My Orders","Torna ai miei ordini"
"Continue Shopping","Continua gli acquisti"
"Search Order for Withdrawal","Cerca ordine per recesso"
"Please enter your order number and the email address used for the order to find your order.","Inserisca il numero dell'ordine e l'indirizzo e-mail utilizzato per l'ordine."
"Order Number","Numero ordine"
"Email Address","Indirizzo e-mail"
"Search Order","Cerca ordine"
"Order Date","Data ordine"
"Order Status","Stato ordine"
"Order Total","Totale ordine"
"Items Ordered","Articoli ordinati"
"Product Name","Nome prodotto"
"SKU","SKU"
"Qty","Qtà"
"Price","Prezzo"
"Subtotal","Subtotale"
"Withdrawal deadline:","Scadenza recesso:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Inviando il recesso, dichiara di voler revocare il contratto di acquisto per questo ordine."
"A withdrawal request has already been submitted for this order.","È già stata inviata una richiesta di recesso per questo ordine."
"The withdrawal period for this order has expired. The deadline was: %1","Il periodo di recesso per questo ordine è scaduto. La scadenza era: %1"
"Back","Indietro"
"Confirm Withdrawal","Conferma recesso"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","È sicuro di voler inviare il recesso per questo ordine? Questa azione non può essere annullata."
"Cancel","Annulla"
"Yes, Submit Withdrawal","Sì, invia recesso"
"The order could not be found.","L'ordine non è stato trovato."
"Invalid form key. Please try again.","Chiave modulo non valida. Si prega di riprovare."
"The withdrawal function is currently not available.","La funzione di recesso non è attualmente disponibile."
"No order specified.","Nessun ordine specificato."
